Dia,Hora,Temperatura,Humedad,Presion
1,0,25.3,60.5,1013.2
1,1,24.8,61.2,1013.5
1,2,24.5,62.1,1013.6
1,3,23.9,63.4,1013.8
1,4,23.5,63.9,1014.1
1,5,23.2,64.5,1014.3
1,6,23.1,65.1,1014.5
1,7,23.4,64.9,1014.6
1,8,23.9,64.2,1014.5
1,9,24.5,63.1,1014.3
1,10,25.0,61.8,1014.1
1,11,25.5,60.7,1013.9
1,12,26.1,59.8,1013.7
1,13,26.7,58.9,1013.6
1,14,27.3,58.1,1013.5
1,15,27.8,57.5,1013.4
1,16,28.2,57.0,1013.4
1,17,28.5,56.7,1013.4
1,18,28.6,56.6,1013.5
1,19,28.5,56.7,1013.6
1,20,28.3,56.9,1013.7
1,21,28.0,57.3,2000.3
1,22,27.5,58.0,1013.9
1,23,27.0,59.0,1014.0
2,0,21.5,54,1012.2
2,1,20.8,52,1011.5
2,2,20.2,50,1011.0
2,3,19.9,49,1010.5
2,4,19.5,48,1009.8
2,5,19.2,47,1009.2
2,6,19.0,46,1008.7
2,7,19.1,46,1008.5
2,8,19.7,47,1008.8
2,9,20.6,50,1009.5
2,10,21.5,53,1010.2
2,11,22.3,56,1010.8
2,12,22.9,58,1011.2
2,13,23.3,59,1011.5
2,14,23.6,61,1011.7
2,15,23.7,62,1011.8
2,16,23.4,62,1011.5
2,17,23.0,62,1011.0
2,18,22.6,60,1010.5
2,19,22.3,58,1010.2
2,20,22.0,56,1009.9
2,21,21.7,54,1009.7
2,22,21.4,52,1009.5
2,23,21.0,50,1009.2
